REGION,MARKET,DEV_MANAGER,SITEID,SITE_NAME,FOPS_ASSIGNEE,SITE_CLASS,MAGENTABUILT_STATUS,OA_DATE,POWER_METER,BREAKER_SIZE,GEN_PLUG,ACCESS_DETAILS,SITE_SECURITY_ISSUES,PORTABLE_GENERATOR_CAPABLE,PORTABLE_GEN_PLUG,PORTABLE_GEN_CORD_LENGTH,PORTABLE_GEN_ACCESS_NOTES,FACILITY_COMBO,OTHER_COMBO,POWER_COMBO,TELCO_AAV_COMBO,TELCO_GATE_COMBO,SITE_24X7,POWER_24X7,TELCO_24X7,OTHER_24X7,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,SITE_NOTES,SITE_DIRECTIONS,FACILITY_ACCESS_NOTES,FACILITY_NOTIFICATION_REQUIRED,FACILITY_NOTIFICATION_PERIOD,POWER_ACCESS_NOTES,POWER_NOTIFICATION_REQUIRED,POWER_NOTIFICATION_PERIOD,TELCO_DEMARC_LOCATION,TELCO_AAV_NID_LOCATION,TMO_NID_LOCATION,TELCO_ACCESS_NOTES,TELCO_NOTIFICATION_REQUIRED,TELCO_NOTIFICATION_PERIOD,OTHER_ACCESS_NOTES,OTHER_NOTIFICATION_REQUIRED,OTHER_NOTIFICATION_PERIOD,EME_SIGNAGE_VISIT_REQUIRED,EME_AUDIT_LAST_PERFORMED
CENTRAL,NASHVILLE,Curtis Barman,9NV4503A,Crown - Potts Rd Wartrace TN,Robert Clark (RClark),Self Support Tower,ON-AIR,2024-08-13,485312,200.0,,,,Yes,Delta Quick Connect,50.0,No,,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
CENTRAL,ST. LOUIS,Ed Montero,MO15831A,MO15831A,Christopher Distler (CDistle1),Self Support Tower,ON-AIR,2024-08-13,71297083,200.0,,"SBA 4722
",,Yes,Cam Lock,25.0,No,4722,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"707 Olive St Brashear, MO 63533.   St. Louis Switch: From 2004 Westport Center Dr, head northwest on Westport Center Dr, turning left toward it and then right onto the street. Follow MO-364 W and US-61 N to MO-6 W in Taylor, taking the MO-6 W exit from US-61 N. Use the left two lanes to turn left onto State Hwy D/Page Ave, continue onto MO-364 W for 20.5 miles, then take exit 1B to merge onto I-64 W/US-40 W/US-61 N toward Wentzville. Continue on US-61 N for 95.4 miles, passing Domino's Pizza. Take the MO-6 W exit toward Edina/Taylor. Follow MO-6 W for 41.1 miles, pass Casey's, then turn left onto MO-6 W/State Hwy 15 S. After 0.9 miles, turn right onto MO-6 W and continue for 11.5 miles. Turn right onto King St, then right onto Chadwick St. Chadwick St turns left and becomes Olive St in Salt River Township, Missouri. Site is a self-support tower.",,,,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,,CHY1323A,O'Hare International Airport (ORD),Justin Horodeck (JHorode1),In-Building BTS,ON-AIR,2024-08-13,,200.0,,Need to have O'Hare Badge. Combo on gate is 11-20-37.Updated by: Ferdinand Carlos -8/16/22,,No,No Gen Plug Available,0.0,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,DES MOINES IA,,DMY1601A,"Apple - Waukee, IA",Jacob Mott (JMott7),In-Building BTS,ON-AIR,2024-08-13,,,,Rama Sharmaramakrishna_sharma@apple.com,,No,,0.0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,JACKSONVILLE,,JVY9801A,JVY9801A,Cesar Orbista (COrbist),In-Building DAS,ON-AIR,2024-08-13,,,,No site access details noted.,,No,No Gen Plug Available,0.0,No,TMO: 1225,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,,CHY1322A,O'Hare International Airport (ORD),Justin Horodeck (JHorode1),In-Building BTS,ON-AIR,2024-08-13,,200.0,,Need to have O'Hare Badge. Combo on gate is 11-20-37.Updated by: Ferdinand Carlos -8/16/22,,No,No Gen Plug Available,0.0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,WICHITA KS,Branch - Kris,WI02108A,WI02108A,Alex Begler (ABegler),Guyed Tower,ON-AIR,2024-08-13,190949560,225.0,,"Vertical Bridge combo 0951 - T-Mobile equipment combo 8687 
",,Yes,Cam Lock,25.0,No,0951,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Hwy 24 & 125th Rd travel .8 mile west to Electric substation.  Enter north from highway.  Pass through barb wire gate.  Cattle kn pasture - keep gate closed.  Travel northeast in pasture following gravel road to tower.  Vertical Bridge combo 0951 at gate.  T-Mobile equipment combo 8687.

4533 ENTERPRISE DR, OKLAHOMA CITY, OK 73128 ON ENTERPRISE DR (EAST) 65 YDS.  TURN LEFT (NORTH) ONTO S MERIDIAN AVE 0.6 MI.  KEEP RIGHT ONTO LOCAL ROAD(S) 54 YDS.  BEAR RIGHT (EAST) ONTO I-50 (STANLEY DRAPER EXPY) 0.2 MI.  TAKE RAMP (LEFT) ONTO i-40 (US270_ 1.1 MI.  AT EXIT 147B, TAKE RAMP (LEFT) ONTO I-44 (SR-3) 3.4 MI.  TAKE RAMP ONTO i-44 (SR-66) 7.8 MI.  MERGE ONTO I-35 (i-44) 119 MI  ENTERING KANSAS.  **TOLL ROAD** STAY ON I-35 (KANSAS TPKE) (NORTH) 25.4 MI.  AT EXIT 43, TAKE RAMP (RIGHT) ONTO i135 0.7 MI.  KEEP RIGHT ONTO LOCAL ROADS 164 YDS.  MERGE ONTO i-135 95.3 MI.  AT EXIT 95A, ROAD NAME CHANGES TO US-81 0.3 MI.  AT IXIT 95B, TAKE RAMP (RIGHT) ONTO I-70 154.8 MI.  AT EXIT 95, TURN RIGHT ONTO RAMP 01. MI.  TURN RIGHT (NORTH) ONTO SR-23 SPUR 0.3 MI.  KEEP STRIAGHT ONTO SR-23 17.3 MI.  TURHN RIGHT (EAST) ONTO US-24 (OAK AVE) 17 MI.  TURH LEFT (NORTH) ONTO LOCAL ROADS 0.2 MI.  ARRIVE WI02108A-MORLAND.",,,,,,,,,,,,,,,,No,
CENTRAL,OMAHA,,ON04039A,Dunlap,Tammy Schumacher (TSchuma2),Guyed Tower,ON-AIR,2024-08-13,SDA2000441,200.0,,"Close pasture gate behind you LIVESTOCK 
Main compound 3737
TMO Equipment 4227
Verified 9/30/24 DA",,Yes,Cam Lock,50.0,No,"3737, 4227",,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,Follow GPS coordinates to site,,,,,,,,,,,,,,,,No,
SOUTH,MIAMI FL,,FL8025BA,FL8025BA,Luis Zapata (lzapata),Roof Top Mount,ON-AIR,2024-08-13,0,60.0,,"(UPDATED 06/07/16 DA)
Access notes from lease:
24 Hours no restrictions
7 days a week


As of 11/10/15 Check in with 24hr Security and they will give the key to  open the rooftop door. All RF modules are located in FCOA cabinets on rooftop. Any construction work needs to be authorized by building owner Brad Forte at 305-445-5511 or at info@forteproperties.com. //LMZ",Security Escort Required,No,No Gen Plug Available,0.0,No,landlord controlled,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"East on I-595 to I-95. Proceed
south on I-95 to SR836. Proceed west on 836 and exit at(NW 22nd Ave
Avenue). Continue south on NW 22th Avenue to SW 24nd Street. Bank located on the NE coner of 24th St and 22nd Ave
East on I-595 to I-95. Proceed
south on I-95 to SR836. Proceed west on 836 and exit at(NW 22nd Ave
Avenue). Continue south on NW 22th Avenue to SW 24nd Street. Bank located on the NE coner of 24th St and 22nd Ave - Check in with Security and they will give the key to  open the rooftop door",,,,,,,,,,,,,,,,No,
SOUTH,MIAMI FL,Marc Bramlett,6WP1342B,Congress & Silver Beach Midcell,Paul Dillon (PDILLON),Unipole/ Micropole,ON-AIR,2024-08-13,ACD1631,200.0,,ROW (right of Way) location Cabinet combo = Site ID,Security Escort Required,Yes,No Gen Plug Available - Hardwire,0.0,Yes,SES Lock,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,ROW (right of Way) location Cabinet combo = Site ID,,,,,,,,,,,,,,,,No,
NORTHEAST,PHILADELPHIA PA,,PH2035BA,PH2035BA,William Zuk (WZuk),Tower Other,ON-AIR,2024-08-13,,,,,,No,,0.0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,MIAMI FL,,FL8014BA,FL8014BA,Luis Zapata (lzapata),Roof Top Mount,ON-AIR,2024-08-13,0,60.0,,"the Gate Code  12860600*, also same code door 12860600*. Take elevator to 5th floor, exit elevator to the right at the end of hall go right and see EXIT sign by stairway door, open and BLOCK door it will lock behind you, notice roof hatch and ladder to access roof, Hatch combo lock is 1111. Also Fibernet MUX is located on Rooftop next to cabinets. FPL meter is located on concrete column in Parking area on bottom floor.",Security Escort Required,No,No Gen Plug Available,0.0,No,128606,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"I95 south to US1 south to SW31st Ave, turn right and notice Public Storage Bldg on right hand side.",,,,,,,,,,,,,,,,No,
WEST,SOUTHERN CALIFORNIA,Micaela Chavez,IE82508A,OG36XC546-NURSERY HOUSE (ROW),Matthew Kindsfather (mkindsfather),Wood Pole,ON-AIR,2024-08-13,,200.0,1.0,"Site located before turn out, equipment located underground in 4' vault, power meter located across road by t-mobile equipment, Park on side of road next to site. All combos are 6943.",Two Techs Required,Yes,Cam Lock,50.0,No,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"1-5 to Alicia Parkway. Go North on Alicia Parkway. Turn right onto Santa Margarita Parkway. Turn left onto Plano Trabuco Road. Proceed one mile, site is on the side of the road.",,,,,,,,,,,,,,,,No,2024-08-21 08:33:11
NORTHEAST,PHILADELPHIA PA,,PH0901BA,PH0901BA,Romulus Connor (RCONNOR),Tower Other,ON-AIR,2024-08-13,,200.0,,"Access Notes valid as of 11/18/2022 by rconnor Emergency Access (outages): Use John Smyth 215 5181992 jsmyth@rpsdirect.com as the contact Desmond is on leave. New contact info for the site. Desmond Reece. 2676487277. dreece@rpsdirect.com. After hours call Desmond and he will arrange access for you, he will notify the guard in the building to let you in. Routine Maintenance and upgrades: 8 -4 Monday to Friday are the business hours. Contractors:Email Desmond a copy of your COI before you go to the site or you will not get in. Security guard is on 24x, Access door is two door to the right of 714 Market door.",,No,,0.0,,NONE,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Take I-76 towards Central Philadelphia; exit I-676 West; at I-676 West exit, stayright for Independence Hall exit. At bottom of ramp, turn right onto CallowhilStreet. Proceed on Callowhill until 8th Street, turn left; take 8th Street South to Market Street. Park car on 8th ST parking lots.",,,,,,,,,,,,,,,,No,
SOUTH,MIAMI FL,,FL8287BA,FL8287BA,Rodrigo Aguila (RAguila2),Monopole,ON-AIR,2024-08-13,0,,,"First Gate 0587#
WEST GATE OF FIRE STATION COMBO 7000
",Security Escort Required,No,No Gen Plug Available,0.0,No,7000,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,595 EAST TO 95 SOUTH TO 836 WEST TO 27TH NORTH SOUTH RIVER DRIVE SITE INSIDE FIRESTATION GROUNDS IN REAR,,,,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,,CHY1326A,O'Hare International Airport (ORD),Justin Horodeck (JHorode1),In-Building BTS,ON-AIR,2024-08-13,,200.0,,Need to have O'Hare Badge. Combo on gate is 11-20-37.Updated by: Ferdinand Carlos -8/16/22,,No,No Gen Plug Available,0.0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,MIAMI FL,,FLY1N01A,Univ of Miami Health - Don Soffer Bldg,Rodrigo Aguila (RAguila2),In-Building DAS,ON-AIR,2024-08-13,0,,,"**DO NOT DISPATCH TMO Field OPS** 
BYOC 2.0 Program Site own and managed by customer/ MSP reach out to MSP NOC below for any maintenance or break/fix issues 

Non-T-Mobile managed sites. (BYOC2.0)

MSP/RAN OEM NOC (Andrew f.k.a CommScope)
#onecell-noc@andrew.com	
+1 888-297-6433 (24x7) -  Select 2 For Small Cells Support


TMO ACS NOC Contact(s) are as follows:
IVR  877-661-5868  Option 9  Option 3
NTOACS@t-mobile.com",,No,No Gen Plug Available,0.0,No,,,,,,No,No,No,No,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,,,,,,,,,,,,,,,,,No,
CENTRAL,DAKOTAS,Jeff Kurpiel,A1R0695A,413778,Matthew Sunde (MSunde1),Monopole,ON-AIR,2024-08-12,011510688,200.0,1.0,"Gate: 2370 
Cabinets: 5596",,Yes,Cam Lock,30.0,No,2370,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Hector International Airport
2801 32nd Ave N, Fargo, ND 58102


Get on I-29 S/US-81 S
2 min (1.3 mi)

Head south on Dakota Dr toward Old Hwy 81/Old US Hwy 81 N

0.3 mi

Turn right onto 19th Ave N

0.9 mi

Use the right lane to merge onto I-29 S/US-81 S via the ramp to Sioux Fls

0.2 mi


Follow I-29 S/US-81 S, State Rte 13 W and ND-11 W to Mdu Facility Driveway in Ellendale Township
2 hr 15 min (144 mi)

Merge onto I-29 S/US-81 S

44.4 mi

Take exit 23B for ND-13 W toward Mooreton

0.4 mi

Merge onto State Rte 13 W

39.4 mi

Turn left onto ND-32 S

8.6 mi

Turn right onto ND-11 W

22.0 mi

Turn left onto ND-1 S/ND-11 W
 Continue to follow ND-11 W

27.9 mi

Turn left onto 1st Ave N/89th Ave SE

0.5 mi

Turn right onto ND-11 W/97.5 St SE

1.3 mi

Turn right onto Mdu Facility Driveway

36 sec (482 ft)
8797 ND-11
Ellendale, ND 58436",,,,,,,,,,,,,,,,No,
SOUTH,ATLANTA,Kristi Anderson,9AT3740A,Burnt Mountain,Matthew Nunley (MNunley1),Guyed Tower,ON-AIR,2024-08-12,40824479,200.0,1.0,"This is a Crown site, and you need to check in and out with them by calling 800-788-7011 Opt. 3. Crown site reference number is XXXXX. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact Crown NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide Crown ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from Crown if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP. Road gate lock combo: . Compound gate lock combo: . Cabinet door lock combo: .",Security Escort Required,Yes,Delta Quick Connect,100.0,No,7011,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"One Ravinia
Head west on Ravinia Dr.
Go for 292 ft.
Turn left onto Ravinia Pkwy.
Go for 207 ft.
Turn left onto Ashford Dunwoody Rd.
Go for 0.2 mi.
Take ramp onto US-19 N (N Fulton Expy) toward I-285 W.
Go for 38.8 mi.
Keep left toward Dawsonville/GA-53 W.
Go for 0.1 mi.
Turn left onto Highway 53 E (GA-53).
Go for 0.4 mi.
Continue on Highway 53 E (GA-53).
Go for 6.1 mi.
Turn left onto Highway 9 N (GA-9 S/GA-53).
Go for 0.1 mi.
Take the 3rd exit from Courthouse Sq roundabout onto Highway 53 W (GA-53) toward GA-9.
Go for 2.6 mi.
Take the 1st exit from roundabout onto Elliott Family Pkwy (GA-183 N) toward Ellijay.
Go for 2.9 mi.
Turn left onto Elliott Family Pkwy (GA-183).
Go for 6.3 mi.
Turn left onto Highway 136 W (GA-136).
Go for 6.3 mi.
Turn left onto Monument Rd.
Go for 0.9 mi.
Turn right onto Utlity Tower.
Go for 262 ft.

End at
2224 Monument Rd
Jasper, Georgia 30143-7422",,,,,,,,,,,,,,,,No,
CENTRAL,DAKOTAS,Jeff Kurpiel,A1R0696A,278076,David Rhoades (DRhoade4),Self Support Tower,ON-AIR,2024-08-12,27047/114 892 994,200.0,1.0,"ATC gate: 2370
Cabinets: 5596",,Yes,Cam Lock,30.0,,2370,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Bismarck Municipal Airport
2301 University Dr, Bismarck, ND 58504


Take E Bismarck Expy, Centennial Rd and 71st Ave NE to US-83 N in Hay Creek
20 min (11.1 mi)


Follow US-83 N and US-2 W to 80th Ave NW in Idaho
2 hr 26 min (155 mi)

Turn right onto 80th Ave NW
 Destination will be on the left

2 min (0.9 mi)
Idaho
North Dakota",,,,,,,,,,,,,,,,No,
WEST,SPOKANE WA,Stacie Waddle,SP01681A,West Twin - Inland (Moscow ID),Ed Blackwell (EBlackw),Self Support Tower,ON-AIR,2024-08-12,70263752,200.0,1.0,"Verified by EB 7/1/25
Site has Shelter at the end of West Twin Road. *KEY REQUIRED FOR ACCESS*You can pick up a key to open the gates from the North Latah County Hwy Dept in the morning. 8/7/24 sets of keys were left in the new TMO lock box mounted on the shelter. 1 key is for the shelter and the 2nd key is for the padlock on lower gate. The lower gate is only left open during the summer months. 
1132 White Ave, Moscow, ID
They are at the shop from 6am – 2:30pm.
We can get the key and keep it for the duration of the project.
from inland tower 2/24 There are two other gates that I know of the first gate is at a landing and cross roads it is a  timber company type  gate that has a combo lock on it. the combo is 3759.  This gate is always closed.  The second gate is right before you go up the hill to the site.  this one has been open for several years.  I think the lock is missing.  But the combo was 0132.",,Yes,Cam Lock,25.0,Yes,"3759., 0132.",,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Verified by EB 7/1/24
FROM SPOKANE, WA. T-MOBILE OFFICE: 
GO EAST ON W 1ST ST/ RIGHT ON S HOWARD ST/ RIGHT ON W 2ND AVE (0.4 M) /LEFT ON S JEFFERSON ST I RIGHT ONTO 1-90 W (0.7 M) / 
EXIT 279 ONTO US-195 S (32.5 M) / EXIT ONTO WA-271 S & TURN LEFT (8.8 M) / CONTINUE STRAIGHT ONTO 1 ST ST (0.5 M) /LEFT ON
WA-27 I STEPTOE AVE (12.0 M) /LEFT ON WA-27 S / W MAIN ST (9.5 M) / LEFT ON PALOUSE COVE RD (4.0 M) / CONTINUE ONTO ID-66 E
& ENTER IDAHO (1.0 M) / RIGHT ON US-95 S (4.8 M) /LEFT ON LEWIS RD
(0.9 M) / SLIGHT LEFT ONTO FOOTHILL RD (UNPAVED)/ FOLLOW UNPAVED ROAD TO TOWER AT TOP OF MOUNTAIN (6.7 M) 

Compound Combo: 3179",,0.0,,,,,,,,,,,,,,No,
NORTHEAST,NEW JERSEY NJ,,NJ0095ZA,SAP_482G,Brian Gorczyca (BGORCZYCA),In Building,ON-AIR,2024-08-12,,,,Store hours are 10am to 6pm Monday thru Saturday. Sunday is 11am to 6pm.,,,,,,none,,,,,No,,,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,11:00-18:00,,,,,,,,,,,,,,,,,,No,
SOUTH,TAMPA FL,Noelle Moeller,A2G2269A,Vertical Bridge US-FL-5010,Greg Pearce (GPearce1),Monopole,ON-AIR,2024-08-12,1000901690,200.0,,"Automated Gate Combo is 0717
Compound Gate Combo is 0951
Vertical Bridge site FL-5010
T-Mobile pad is in the back right corner of the compound. 
Power meter bank is immediately to the right inside the compound. 
Keys to the Ericsson cabinets are in the PPC. Combo is 3277.
No fixed generator. 

",,Yes,Cam Lock,25.0,No,0951,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Take I-75 to Sun City Center/Ruskin ( Hwy 674, exit 240.)
Head east on Hwy 674 to Hwy 301 and turn right. 
Head south on Hwy 301 for about 2 miles to Bishop Rd and turn left. 
Head east on Bishop Rd. 
Tower is on the right. 
Turn into the driveway with the mailbox that has 5033 on it. 
",,,,,,,,,,,,,,,,No,
WEST,LOS ANGELES,,LA9062BA,LA9062BA,Hector Lupercio (HLUPERCIO),Light Pole,ON-AIR,2024-08-12,,200.0,,,,No,No Gen Plug Available,0.0,,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,0.0,,,,,,,,,,,,,,No,
NORTHEAST,WASHINGTON DC,Site Link Wireless,7WAC519A,NTM Repl for WA73XC158,Khuon Pham (KPham19),Utility Lattice Tower,ON-AIR,2024-08-12,299 109 105,200.0,,"***5/20/25***FV
24/7 access Shelter combo - 1325",,Yes,Cam Lock,100.0,No,1325,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Beltsville
Head southeast on Powder Mill Rd
0.5 mi
Turn right onto MD-201 S
2.2 mi
Use the right lane to merge onto I-495 S/I-95 S via the ramp to Beltway S/Richmond Vly/Andrews Air Force Base
0.3 mi
Merge onto I-495 S/I-95 S
19.4 mi
Keep right at the fork to stay on I-495 S/I-95 S
Passing through District of Columbia
Entering Virginia
5.4 mi
Take exit 176A to merge onto VA-241 S/VA-611 S/Telegraph Rd
0.2 mi
Merge onto VA-241 S/VA-611 S/Telegraph Rd
Continue to follow VA-611 S/Telegraph Rd
4.3 mi
Slight right onto Old Telegraph Rd
0.6 mi
Turn right onto Hayfield Rd
Destination will be on the right
0.7 mi
",,,,,,,,,,,,,,,,No,
WEST,SAN FRANCISCO,Mindy Hartstein,BA62123S,Pacific Coast Properties,Tom Naso (tnaso),Rooftop Structure,ON-AIR,2024-08-12,,200.0,1.0,"If going WB on Mt. Diablo Blvd. from DT Lafayette or Concord area, turn Left on 2nd Lafayette Circle. Bldg is on right side about halfway down before street curves left. Equipment is in room 130?? w/Nextel label on door, behind Redwood tree in the back portion of covered parking area. Keys for site are in supra L/B on door. Contact Tom Naso or Edgar Pangilinan for code. Roof access: Access stairs to 3rd floor near our room. Go right to end, last door on left. Contact Pacific Coast Properties Management for any access issues: Roof L/B combo is: 1270. (925) 938-3700, cell number for Shannon is on roof door. Our antennas are behind FRP on first rooftop when you access roof as well as adjacent rooftop at far end, near DISH cabinets. There is a spare set of keys to roof, bathrooms & lobby door inside our shelter.",,Yes,Cam Lock,50.0,No,"14509., 1270.",,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
CENTRAL,DES MOINES IA,Jeff Kurpiel,DM03846A,Dakota Dunes,Tammy Schumacher (TSchuma2),Self Support Tower,ON-AIR,2024-08-12,,225.0,,"This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. ATC site reference number is 374209. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP.",,Yes,Cam Lock,100.0,No,6937,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
WEST,LA NORTH,Daniel Chavez,SV90356A,SV90356A,CELSO DE JESUS (CDejesu27),Monopine,ON-AIR,2024-08-12,,200.0,1.0,"Site Access: NOT 24/7 not recommended at night; previously vandalized. ATC fence was ripped off. Be cautious at night. Recommended two persons at night or visit with caution. Utility Company Main entrance gate code: 1776. ATC main gate: 1220; Hardened cabinets. All combo codes are 5128; Gate code: 1220. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP;  Portable Generator can be deployed; 25' cord; MW Link to Donor SV90007A; IP-20 Ceragon.",Do not go to the site during specified hours,Yes,Cam Lock,25.0,No,1776 / 1220 / 5128,,,,,No,No,No,No,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,,"I-5 N. Exit at Buttonwillow (Hwy 58); turn right. Turn right on Tracy Ave. Left on Lagoon Dr. At the end of the road on the right where the tower is. Enter the Utility Company gate; code 1776. ATC main gate, 1220.",,1.0,Prior to accessing site,,,,,,,,,,,,,No,
NORTHEAST,NEW ENGLAND MARKET,,NE2108ZA,NE2108ZA,David Wright (DWright114),In Building,ON-AIR,2024-08-12,,,,Retail Store,,,,,,,,,,,No,No,No,No,11:00-18:00,11:00-18:00,11:00-16:00,11:00-16:00,11:00-16:00,11:00-16:00,12:00-16:00,,follow Store address to parking lot,,,,,,,,,,,,,,,,No,
